Species,Family,Number,Sex,Status,FunFH,MC_H,MCMT,SG,HD,UO,RP,MCP,MCD,MCPD,MCM,FH,FPG,MT_F,TP,MTP,MTD,MTM,CGR,ALW,ALW2
Bison_occidentalis,unknown,USNM_356332,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.016214481,3.598532796,0.926912735,NA,NA,1.810518175
Bison_occidentalis,unknown,USNM_356317,unknown,fossil,NA,NA,NA,NA,0.569573284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.898481215
Bison_occidentalis,unknown,USNM_356328,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.913355198,NA,NA,NA,NA,NA,NA
Bison_occidentalis,unknown,USNM_356326,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.161993769,NA,NA,NA,NA,NA,NA
Bison_occidentalis,unknown,USNM_356331,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.674745346,1.306188356,NA,NA,NA,NA,NA,NA,NA,NA
Bison_occidentalis,unknown,USNM_356329,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723983636,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_sp.,unknown,USNM_14423,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,2.605473886,2.753568271,1.056839712,0.668432851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison_sp.,unknown,USNM_632617,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.490396831,1.497050147,NA
Bison_sp.,unknown,USNM_7959,unknown,fossil,NA,NA,NA,NA,0.632027958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blastomeryx,Barstovian,USNM_352586,unknown,fossil,NA,NA,NA,NA,0.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blastomeryx_(Problastomeryx)_advena,Hemingfordian,AM_13015,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,6.533940397,6.200314218,0.948939513,0.773609314,0.814171123,NA,NA,NA,NA,NA,NA,NA,1.782735209,NA
Blastomeryx_(Problastomeryx)_primus,Hemingfordian,AM_13822,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831295844,1.015179678,NA,6.279489904,NA,NA,NA,NA,NA,1.78986941
Blastomeryx_olcotti,Hemingfordian,AMNH_13224,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.786496995,8.376503892,7.125827815,1.079418345,1.521858864,1.677257525,1.803913894
Bootherium,unknown,4254-8,unknown,fossil,NA,NA,0.993701889,NA,NA,4.359333645,1.101805893,3.138733585,2.814503906,0.896700478,0.665571976,0.919748779,1.075806193,0.500886598,3.881469115,4.000823452,3.066523605,0.831458289,NA,NA,1.782974743
Bootherium,unknown,171057,unknown,fossil,NA,NA,NA,1.199563636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouromeryx,Barstovian,34009_A,unknown,fossil,NA,NA,NA,NA,NA,NA,1.073594441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.796945193
Bouromeryx,Barstovian,34010,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,5.813253012,5.790681257,0.99611719,0.840301974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouromeryx,Barstovian,34010_A,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouromeryx,E_Barstovian,54539,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.622674934,6.752451942,1.220449601,NA,NA,NA
Bouromeryx,E_Barstovian,54534,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,6.247366368,6.2546875,1.001171875,0.951742627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouromeryx,E_Barstovian,54538,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouromeryx_,L_Hemingfordian,54544,unknown,fossil,NA,NA,NA,NA,0.675581105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bouromeryx_,L_Hemingfordian,54545,unknown,fossil,NA,NA,NA,NA,NA,NA,1.02763329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capromeryx_sp.,Blancan,PAL_521088,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.753415301,NA
Capromeryx_sp.,Blancan,PAL_521087,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.419281377,NA,NA
Cervalces_americanus,Rancholabrean,107678,unknown,fossil,NA,0.878757293,0.83998494,1.158588856,0.727042502,5.312590449,1.045595238,5.560990809,5.182346109,0.931910569,0.878899533,0.813864125,NA,0.957591599,NA,7.062655809,5.667644705,1.162436548,1.577271454,1.676581936,NA
Cranioceras,Barstovian,54645,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranioceras,Barstovian,54648,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.542113323,2.058051489
Cranioceras_clarendonensis,Clarendonian,54657_A,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.600747819,NA
Cranioceras_clarendonensis,Clarendonian,54657,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.817189632,1.80952381
Cranioceras_clarendonensis,Clarendonian,32453_B,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6680779,1.875981811
Cranioceras_granti,Clarendonian,32404_A,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.647215866,1.983920368
Cranioceras_mefferdi,Barstovian,31920,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819858156,1.144466739,NA,NA,NA,NA,NA,1.546042807,1.620714286,1.822611164
Cranioceras_mefferdi,Clarendonian,31922,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.674313409,1.856014863
Cranioceras_skinneri,Barstovian,31251,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,6.259615385,5.818494328,0.929529048,0.960597015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.781765677
Cranioceras_skinneri,Barstovian,31915,unknown,fossil,NA,NA,NA,NA,0.675038442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.937069813
Cranioceras_skinneri,Barstovian,31917,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.486867619,1.675709001,NA
Drepanomeryx,Barstovian,54531_B,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.704067948,NA
Drepanomeryx,Barstovian,54529,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.434315101,NA,NA
Drepanomeryx,Barstovian,54531_A,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.529051988,NA
Drepanomeryx,Barstovian,54531,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.488802337,NA,NA
Dromomeryx_borealis,Miocene,USNM_5517,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.129108598,1.123605948,1.472591726,NA,NA
Dromomeryx_borealis,Miocene,USNM_5517/6,unknown,fossil,NA,NA,NA,NA,NA,NA,1.085373925,NA,NA,NA,NA,0.795045632,1.162697231,NA,NA,NA,NA,NA,1.467612496,1.616046832,NA
Dromomeryx_pawniensis,Barstovian,AM_9450_B,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.451445008,NA,NA
Dromomeryx_pawniensis,Barstovian,AM_9450_B,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.593601089,NA
Dromomeryx_pawniensis,Barstovian,AM_9450_B,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.625598905,NA
Dromomeryx_sp,Barstovian,52380,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.464335084,NA,1.922622951
Hypertragulus,Orellan,53804_E,unknown,fossil,NA,NA,NA,NA,0.626315789,NA,1,NA,NA,NA,NA,0.814928425,NA,NA,NA,NA,NA,NA,1.525487728,NA,NA
Hypertragulus,Orellan,53803_A,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821215733,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypertragulus,Orellan,53807_A,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.045235223,NA,NA,NA,NA,NA,NA,NA,NA
Hypertragulus?,Orellan,AMNH_95185,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.847690387,NA
Leptomeryx,Orellan,53710,unknown,fossil,NA,0.494573643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.829872204
Leptomeryx,Orellan,AMNH_F:AM_145857,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.526726974,NA,NA
Leptomeryx,Orellan,F:AM_145856,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896030246
Leptomeryx,Orellan,AMNH_F:AM_145857,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.526726974,NA,NA
Leptomeryx,Orellan,F:AM_145856,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.039955605
Leptomeryx,Orellan,53698-A,unknown,fossil,NA,NA,NA,1.315290934,0.704113924,NA,NA,NA,NA,NA,NA,0.894439208,NA,NA,NA,NA,NA,NA,NA,1.92375,NA
Leptomeryx,Orellan,53667_A,unknown,fossil,NA,NA,NA,NA,0.590066225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.675084175,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,0.643478261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904614432
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,0.971671388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813871817,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.817699115,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.666302567,NA,NA
Leptomeryx,Orellan,6782,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.010869565
Leptomeryx,Orellan,6783,unknown,fossil,NA,NA,NA,NA,0.600749064,NA,0.966204506,NA,NA,NA,NA,0.788429752,1.120624663,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan-Whitneyan,38910,unknown,fossil,NA,NA,NA,1.160409556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx,Orellan-Whitneyan,38910,unknown,fossil,NA,NA,NA,NA,NA,7.006761833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx_evansi,Orellan,1333,unknown,fossil,NA,NA,NA,1.172064777,0.660839161,NA,NA,NA,NA,NA,NA,0.875297855,1.06312769,NA,NA,NA,NA,NA,NA,NA,NA
Leptomeryx_evansi,Orellan,USNM_2528,unknown,fossil,NA,NA,NA,NA,0.650916784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.195435093
Leptomeryx_evansi,Orellan,USNM_4201,unknown,fossil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
